Brand,Source,Published_Date,Combined_Text,Cleaned_Text
Amazon India,The Times of India,2026-02-16T06:00:06Z,"It took me back 24 years: Karan Nath on his film Yeh Dil Aashiqanaa’s re-release and his return to acting As Yeh Dil Aashiqanaa returns to cinemas 24 years after its original release, actor Karan Nath finds himself overwhelmed with emotion. The 2002 romant.",took back years karan nath film yeh dil aashiqanaas rerelease return acting yeh dil aashiqanaa returns cinemas years original release actor karan nath finds overwhelmed emotion romant
Amazon India,The Times of India,2026-02-16T01:36:15Z,New-age cos downsize IPOs; Neysa’s $1.2 billion funding Happy Monday! Several recently-listed new-age firms have cut down their IPO sizes and tinkered with their valuation. This and more in today’s ETtech Morning Dispatch.,newage cos downsize ipos neysas billion funding happy monday several recentlylisted newage firms cut ipo sizes tinkered valuation todays ettech morning dispatch
Amazon India,The Times of India,2026-02-16T00:31:00Z,"Quick commerce gains as last-minute events drive Valentine’s demand Direct-to-consumer (D2C) brands report a surge in sales during the Valentine’s Day period as smaller events, festivals, and occasions grow bigger on quick commerce each year. Valentine’s Day is emerging as a key sales event for quick commerce platforms as com…",quick commerce gains lastminute events drive valentines demand directtoconsumer dc brands report surge sales valentines day period smaller events festivals occasions grow bigger quick commerce year valentines day emerging key sales event quick commerce platforms com
Amazon India,CNBC,2026-02-15T23:15:45Z,"Huang and Pichai among tech CEOs heading to India for major AI summit in a key market India has a market of young, tech-forward consumers and a huge pool of talent which could be key to continued development of AI.",huang pichai among tech ceos heading india major ai summit key market india market young techforward consumers huge pool talent could key continued development ai
Amazon India,Statetimes.in,2026-02-15T19:25:21Z,"Decade of defence reforms bore fruit during Op Sindoor: Modi STATE TIMES NEWS NEW DELHI: The benefits of a decade of defence reforms were evident during Operation Sindoor, Prime Minister Narendra Modi said on Sunday, asserting that India has to be prepared at all times to deal with security challenges.As a country that…",decade defence reforms bore fruit op sindoor modi state times news new delhi benefits decade defence reforms evident operation sindoor prime minister narendra modi said sunday asserting india prepared times deal security challengesas country
Amazon India,The Times of India,2026-02-15T18:04:04Z,"Trafficking racket busted in Rohtas, four arrested In a significant crackdown on human trafficking, law enforcement in Bikramganj detained four suspects, including a woman, linked to a scheme that preyed on impoverished families. Reports indicate that a family was deceived into marrying off their daughter to …",trafficking racket busted rohtas four arrested significant crackdown human trafficking law enforcement bikramganj detained four suspects including woman linked scheme preyed impoverished families reports indicate family deceived marrying daughter
Amazon India,The Times of India,2026-02-15T18:00:25Z,"Retd CISF officer, kin die in Jamui road accident In a heartbreaking incident on the Chakai-Deoghar road, a retired CISF officer and his daughter-in-law tragically lost their lives. After attending a joyful wedding celebration, their vehicle swerved off the path and collided with a tree, leading to two fatal…",retd cisf officer kin die jamui road accident heartbreaking incident chakaideoghar road retired cisf officer daughterinlaw tragically lost lives attending joyful wedding celebration vehicle swerved path collided tree leading two fatal
Amazon India,The Times of India,2026-02-15T17:53:05Z,"Suryavanshi to skip CBSE Class X exams Rising star Vaibhav Suryavanshi has made the tough decision to forgo his CBSE Class X exams as he dives headfirst into a demanding cricket schedule, heightened by security concerns. After leading his team to victory at the Under-19 World Cup, the talented bat…",suryavanshi skip cbse class x exams rising star vaibhav suryavanshi made tough decision forgo cbse class x exams dives headfirst demanding cricket schedule heightened security concerns leading team victory world cup talented bat
Myntra,The Times of India,2026-02-16T02:01:20Z,"Fractal Industries IPO opens today. Check GMP, price band, subscription and other details At the upper band of Rs 216, the IPO is commanding a pre-issue market cap of around Rs 169.5 crore. Shares are proposed to be listed on the BSE SME platform on February 23. The IPO is entirely a fresh issue of 22.68 lakh shares aggregating to Rs 49 crore. The…",fractal industries ipo opens today check gmp price band subscription details upper band rs ipo commanding preissue market cap around rs crore shares proposed listed bse sme platform february ipo entirely fresh issue lakh shares aggregating rs crore
Myntra,The Times of India,2026-02-14T17:30:48Z,"'Indian consumer brands have a 20-yr opportunity to expand into global markets' Indian brands are ready to take the world stage! With favorable geopolitics and new trade agreements with regions such as the EU and the US, opportunities abound. Crafting billion-dollar brands from India is not just a dream; it’s within reach. The winning fo…",indian consumer brands yr opportunity expand global markets indian brands ready take world stage favorable geopolitics new trade agreements regions eu us opportunities abound crafting billiondollar brands india dream within reach winning fo
Myntra,The Times of India,2026-02-13T13:00:10Z,"BFUHS Staff Nurse recruitment 2026 registration begins at bfuhs.ac.in: Direct link to apply here Baba Farid University of Health Sciences has opened online applications for 59 Staff Nurse positions. Aspiring candidates with a B.Sc. Nursing or GNM qualification and relevant registration can apply on the official website, bfuhs.ac.in. The application windo…",bfuhs staff nurse recruitment registration begins bfuhsacin direct link apply baba farid university health sciences opened online applications staff nurse positions aspiring candidates bsc nursing gnm qualification relevant registration apply official website bfuhsacin application windo
Myntra,The Times of India,2026-02-13T12:58:44Z,"The 50: Prince Narula’s team hits back at Nikki Tamboli’s body-shaming allegations, slams dragging his one-year-old daughter into the controversy Nikki Tamboli took to social media to call out Prince Narula over alleged body-shaming remarks regarding her lips during an episode of 'The 50'. While Prince's representatives insisted it was all in good fun, they defended that the timing of Nikki's complaint…",prince narulas team hits back nikki tambolis bodyshaming allegations slams dragging oneyearold daughter controversy nikki tamboli took social media call prince narula alleged bodyshaming remarks regarding lips episode princes representatives insisted good fun defended timing nikkis complaint
Myntra,The Times of India,2026-02-13T12:53:13Z,"Top 5 Kannada TV shows this week: Karna retains no. 1 spot Karna continues its reign at the top of the Kannada TV viewership rankings, driven by its powerful narrative and high-voltage drama. Annayya and Lakshmi Nivasa follow closely, securing second and third place respectively with their emotionally resonant storyt…",top kannada tv shows week karna retains spot karna continues reign top kannada tv viewership rankings driven powerful narrative highvoltage drama annayya lakshmi nivasa follow closely securing second third place respectively emotionally resonant storyt
Myntra,The Times of India,2026-02-13T12:44:00Z,"Last-minute, still meaningful: Valentine’s day gifts delivered in 30 minutes with Myntra M‑Now Valentine’s Day has arrived sooner than expected, but a meaningful gift need not be an afterthought. With Myntra’s M-Now offering delivery in as littl.",lastminute still meaningful valentines day gifts delivered minutes myntra mnow valentines day arrived sooner expected meaningful gift need afterthought myntras mnow offering delivery littl
Myntra,The Times of India,2026-02-12T17:49:33Z,"Playbook Partners buys 5% in Subway India for Rs 130 crore Playbook Partners India has bought a stake in Subway India. The deal values the quick-service restaurant chain at over '2,600 crore. Subway India operates more than 1,000 outlets nationwide. This investment comes as Subway India considers a public listing. Se…",playbook partners buys subway india rs crore playbook partners india bought stake subway india deal values quickservice restaurant chain crore subway india operates outlets nationwide investment comes subway india considers public listing se
Myntra,Business Standard,2026-02-12T09:26:31Z,"Fractal Industries IPO opens on Feb 16: Check GMP, key dates, price band Fractal Industries IPO is being offered at a price band of ₹205 to ₹216 per share, with a lot size of 600 shares",fractal industries ipo opens feb check gmp key dates price band fractal industries ipo offered price band per share lot size shares
Myntra,The Times of India,2026-02-10T06:50:12Z,"ET Snapchat Gen Z Index: How Gen Z is changing shopping, careers and brand loyalty in India Gen Z in India prioritizes authenticity, value, and personal meaning over traditional brand prestige.  They seek relatable recommendations, embrace niche brands, and value 'real' experiences.  Technology like AR and AI aids their decision-making, while mental…",et snapchat gen z index gen z changing shopping careers brand loyalty india gen z india prioritizes authenticity value personal meaning traditional brand prestige seek relatable recommendations embrace niche brands value real experiences technology like ar ai aids decisionmaking mental
Myntra,BusinessLine,2026-02-09T15:43:16Z,Flipkart announces two senior leadership appointments The company said the appointments are part of its efforts to build leadership depth and organisational capability over the long term,flipkart announces two senior leadership appointments company said appointments part efforts build leadership depth organisational capability long term
Snapdeal,The Times of India,2026-02-13T19:26:06Z,"ET Now GBS 2026: In 10 years, New-age Cos Should Form 10% of India's $15tn M-cap, says said Kunal Bahl, founder of Snapdeal Kunal Bahl anticipates a surge of venture-backed startups entering India's public markets over the next decade, projecting new-age companies to contribute significantly to a potential $15 trillion market capitalization. He highlighted the substantial capital …",et gbs years newage cos form indias tn mcap says said kunal bahl founder snapdeal kunal bahl anticipates surge venturebacked startups entering indias public markets next decade projecting newage companies contribute significantly potential trillion market capitalization highlighted substantial capital
Snapdeal,Livemint,2026-02-13T14:39:28Z,CCPA fines Snapdeal ₹5 lakh for selling non-BIS certified toys The CCPA holds that marketplace platforms cannot evade accountability by claiming intermediary status when consumer safety is at stake.,ccpa fines snapdeal lakh selling nonbis certified toys ccpa holds marketplace platforms cannot evade accountability claiming intermediary status consumer safety stake
Snapdeal,Ndtvprofit.com,2026-01-28T04:46:56Z,"Shadowfax Technologies Shares Debut At 8% Discount Over IPO Price The Rs 1,900-crore initial public offering was subscribed 2.86 times on its third and final day. The issue received bids for 24.23 crore shares against 8.9 crore shares on offer.",shadowfax technologies shares debut discount ipo price rs crore initial public offering subscribed times third final day issue received bids crore shares crore shares offer
Snapdeal,BusinessLine,2026-01-22T15:23:09Z,"Shadowfax Technologies IPO sails through Shadowfax Technologies IPO oversubscribed 2.72 times, driven by strong demand from QIBs and retail investors.",shadowfax technologies ipo sails shadowfax technologies ipo oversubscribed times driven strong demand qibs retail investors
Snapdeal,BusinessLine,2026-01-22T05:06:59Z,"Shadowfax Tech IPO subscribed 60% on day 2 Shadowfax Tech's IPO sees 60% subscription on day two, with strong interest from retail and institutional investors.",shadowfax tech ipo subscribed day shadowfax techs ipo sees subscription day two strong interest retail institutional investors
Snapdeal,BusinessLine,2026-01-20T14:14:54Z,"Shadowfax Tech IPO subscribed 47% on day 1 Shadowfax Tech's IPO saw 47% subscription on day one, with bids for 4.18 crore shares against 8.90 crore on offer.",shadowfax tech ipo subscribed day shadowfax techs ipo saw subscription day one bids crore shares crore offer
Snapdeal,The Indian Express,2026-01-20T11:11:57Z,"Shark Tank India: Aman Gupta asks 13-year-old AI startup founder’s dad, ‘Kya khake paida kiya hai?’; teen quit JEE coaching to build business Shark Tank India 5: A 13-year-old founder, Jaiwardhan Tyagi, impressed the Sharks with his AI-enabled assistive medtech platform — but did he secure an investment for his company?",shark tank india aman gupta asks yearold ai startup founders dad kya khake paida kiya hai teen quit jee coaching build business shark tank india yearold founder jaiwardhan tyagi impressed sharks aienabled assistive medtech platform secure investment company
Snapdeal,BusinessLine,2026-01-20T03:19:30Z,"Shadowfax Technologies IPO opens today in ₹118-124 band Shadowfax Technologies' ₹1,907.27-crore IPO opens today at ₹118-124, closing January 22, targeting significant growth in logistics.",shadowfax technologies ipo opens today band shadowfax technologies crore ipo opens today closing january targeting significant growth logistics
Snapdeal,The Times of India,2026-01-20T01:56:43Z,"How I use ChatGPT to plan travel I begin by giving it context: myself and wife traveling along with two children aged 10 and 12, an interest in being outdoors, and a low tolerance for long stretches of inactivity, writes Rohit Bansal.",use chatgpt plan travel begin giving context wife traveling along two children aged interest outdoors low tolerance long stretches inactivity writes rohit bansal
Snapdeal,BusinessLine,2026-01-19T16:42:04Z,"Shadowfax raises ₹856 crore from anchor investors ahead of IPO The Rs 1,907-crore IPO will open for public subscription from January 20 to 22, with a price band of Rs 118-124 per share, valuing the company at over Rs 7,100 crore at the upper end",shadowfax raises crore anchor investors ahead ipo rs crore ipo open public subscription january price band rs per share valuing company rs crore upper end
Meesho,BusinessLine,2026-02-14T13:40:28Z,"Bearish market sentiments drag down primary issuances Bearish market sentiments lead to a sharp decline in January IPOs, as companies defer launches amid investor caution.",bearish market sentiments drag primary issuances bearish market sentiments lead sharp decline january ipos companies defer launches amid investor caution
Meesho,BusinessLine,2026-02-14T13:10:49Z,"Bearish market sentiments drag down primary issuances Bearish market sentiments lead to a sharp decline in January IPOs, as companies defer launches amid investor caution.",bearish market sentiments drag primary issuances bearish market sentiments lead sharp decline january ipos companies defer launches amid investor caution
Meesho,BusinessLine,2026-02-12T08:46:23Z,XLRI Records Strong Final Placements for PGDM (BM) & PGDM (HRM) Batch 2024–26 XLRI Records Strong Final Placements for PGDM (BM) & PGDM (HRM) Batch 2024–26,xlri records strong final placements pgdm bm pgdm hrm batch xlri records strong final placements pgdm bm pgdm hrm batch
Meesho,The Times of India,2026-02-11T05:35:18Z,"Vodafone Idea rallies 76% in 6 months; brokerages turn cautious Vodafone Idea shares are experiencing a significant rally. This surge is fueled by government relief on AGR dues, a new three-year turnaround plan, and increased investment from promoter Kumar Mangalam Birla. While operating losses are narrowing and ARPU is i…",vodafone idea rallies months brokerages turn cautious vodafone idea shares experiencing significant rally surge fueled government relief agr dues new threeyear turnaround plan increased investment promoter kumar mangalam birla operating losses narrowing arpu
Meesho,GlobeNewswire,2026-02-10T16:07:00Z,"India Digital Ad Spend Business Report 2026: A $20.46 Billion Market by 2029 - Google and Meta Retain Budget Share, ShareChat, Dailyhunt, and InMobi Scale Through Regional Content Key market opportunities in India's digital ad market include regional content targeting non-metro audiences, growth in influencer-led social commerce, increased CTV investments, and advancing adtech for AI and compliance. Retail media is emerging as a vital …",india digital ad spend business report billion market google meta retain budget share sharechat dailyhunt inmobi scale regional content key market opportunities indias digital ad market include regional content targeting nonmetro audiences growth influencerled social commerce increased ctv investments advancing adtech ai compliance retail media emerging vital
Meesho,GlobeNewswire,2026-02-10T15:11:00Z,"Asia-Pacific Digital Ad Spend Business Databook Report 2026: Market to Reach 489.3 Billion by 2029 - Platform Competition is Intensifying Across Performance and Video Budgets Asia-Pacific's digital ad market is poised for growth driven by retail media, CTV adoption, AI in campaign execution, and privacy-led strategies. Regional platforms are expanding ad options, enhancing competition. Localization in tier-2 cities and regulatory …",asiapacific digital ad spend business databook report market reach billion platform competition intensifying across performance video budgets asiapacifics digital ad market poised growth driven retail media ctv adoption ai campaign execution privacyled strategies regional platforms expanding ad options enhancing competition localization tier cities regulatory
Meesho,The Times of India,2026-02-10T01:32:32Z,MFs up startup ante; Rupeek's new raise Happy Tuesday! Exposure of domestic mutual funds to new-age stocks significantly increased in 2025. This and more in today’s ETtech Morning Dispatch.,mfs startup ante rupeeks new raise happy tuesday exposure domestic mutual funds newage stocks significantly increased todays ettech morning dispatch
Meesho,The Times of India,2026-02-10T00:30:00Z,"Domestic MFs double their holdings in new-age startups over a year These institutions accumulated significant stakes in consumer internet firms Eternal, Swiggy, Nykaa and PB Fintech this past year, despite mixed share performance. They also bought into companies such as Lenskart, Groww, Meesho and PhysicsWallah that entered …",domestic mfs double holdings newage startups year institutions accumulated significant stakes consumer internet firms eternal swiggy nykaa pb fintech past year despite mixed share performance also bought companies lenskart groww meesho physicswallah entered
Meesho,The Times of India,2026-02-10T00:30:00Z,"Mutual funds adopt India Inc’s next gen companies with open arms These institutions accumulated significant stakes in consumer internet firms Eternal, Swiggy, Nykaa and PB Fintech this past year, despite mixed share performance. They also bought into companies such as Lenskart, Groww, Meesho and PhysicsWallah that entered …",mutual funds adopt india incs next gen companies open arms institutions accumulated significant stakes consumer internet firms eternal swiggy nykaa pb fintech past year despite mixed share performance also bought companies lenskart groww meesho physicswallah entered
Meesho,The Times of India,2026-02-06T09:54:01Z,"BEML Q3: Loss widens to Rs 22 crore YoY despite 24% revenue growth; Rs 2.5 dividend Total expenses during the quarter rose sharply to Rs 1,113 crore, up from Rs 796 crore in Q2FY26 and Rs 851 crore in Q3FY25, reflecting a 40% sequential increase and a 31% year-on-year rise. The higher costs were driven by employee benefits, raw material expe…",beml q loss widens rs crore yoy despite revenue growth rs dividend total expenses quarter rose sharply rs crore rs crore qfy rs crore qfy reflecting sequential increase yearonyear rise higher costs driven employee benefits raw material expe
Ajio,The Times of India,2026-02-16T02:01:20Z,"Fractal Industries IPO opens today. Check GMP, price band, subscription and other details At the upper band of Rs 216, the IPO is commanding a pre-issue market cap of around Rs 169.5 crore. Shares are proposed to be listed on the BSE SME platform on February 23. The IPO is entirely a fresh issue of 22.68 lakh shares aggregating to Rs 49 crore. The…",fractal industries ipo opens today check gmp price band subscription details upper band rs ipo commanding preissue market cap around rs crore shares proposed listed bse sme platform february ipo entirely fresh issue lakh shares aggregating rs crore
Ajio,Business Standard,2026-02-12T09:26:31Z,"Fractal Industries IPO opens on Feb 16: Check GMP, key dates, price band Fractal Industries IPO is being offered at a price band of ₹205 to ₹216 per share, with a lot size of 600 shares",fractal industries ipo opens feb check gmp key dates price band fractal industries ipo offered price band per share lot size shares
Ajio,The Times of India,2026-02-11T02:20:46Z,"Brandman Retail shares to debut today. Here's what GMP suggests ahead of listing Brandman Retail's shares are poised for their NSE SME debut on February 11. Grey market indicators suggest a positive listing with a potential upside. The Rs 86 crore IPO saw strong investor demand, subscribed over 114 times. The company distributes and retai…",brandman retail shares debut today heres gmp suggests ahead listing brandman retails shares poised nse sme debut february grey market indicators suggest positive listing potential upside rs crore ipo saw strong investor demand subscribed times company distributes retai
Ajio,The Times of India,2026-02-04T03:14:33Z,"Brandman Retail IPO opens today. Check GMP, price band, subscription and other details Brandman Retail’s IPO opened on Tuesday, attracting early grey-market interest with a premium of about 5%. The Rs 86.09-crore fresh issue, priced at Rs 167–176 per share, will close on February 6 and is set to list on the NSE SME platform on February 11.",brandman retail ipo opens today check gmp price band subscription details brandman retails ipo opened tuesday attracting early greymarket interest premium rs crore fresh issue priced rs per share close february set list nse sme platform february
Ajio,Livemint,2026-01-26T10:12:50Z,"Curation is key: Why social commerce 2.0 is winning over India’s Gen Z Unlike earlier models that tried to handle logistics and fulfilment, this new cohort acts as a tech layer connecting creators to established marketplaces.",curation key social commerce winning indias gen z unlike earlier models tried handle logistics fulfilment new cohort acts tech layer connecting creators established marketplaces
Ajio,BusinessLine,2026-01-16T16:50:53Z,"Reliance Retail’s Q3 performance hit by GST, investments in q-comm Reliance Retail’s topline in Q3 of FY26 was affected by GST rates rationalisation, festive demand getting split with the previous quarter and demerger of the FMCG business, while the bottomline was hit by festive offers, promotion and investments in hyperloca…",reliance retails q performance hit gst investments qcomm reliance retails topline q fy affected gst rates rationalisation festive demand getting split previous quarter demerger fmcg business bottomline hit festive offers promotion investments hyperloca
Ajio,The Times of India,2026-01-16T14:20:19Z,"Reliance Retail Q3 Results: Profit rises 3% YoY to Rs 3,551 crore; revenue up 9% Reliance Retail Q3 Results: Reliance Retail reported a 2.7% YoY rise in Q3 profit to Rs 3,551 crore and 9.2% revenue growth. EBITDA increased 1.3% to Rs 6,915 crore, though margins softened. Store additions, strong festive demand across categories, rapid JioM…",reliance retail q results profit rises yoy rs crore revenue reliance retail q results reliance retail reported yoy rise q profit rs crore revenue growth ebitda increased rs crore though margins softened store additions strong festive demand across categories rapid jiom
BigBasket,The Times of India,2026-02-09T08:26:00Z,"How India’s tech majors are fixing AI code review bottlenecks From Swiggy's 100,000 reviewed pull requests to Freshworks' AI playground for non-technical staff, executives at the invite-only meetup, The Economic Times X CodeRabbit, revealed how they're shipping faster without breaking things.",indias tech majors fixing ai code review bottlenecks swiggys reviewed pull requests freshworks ai playground nontechnical staff executives inviteonly meetup economic times x coderabbit revealed theyre shipping faster without breaking things
BigBasket,Livemint,2026-02-09T00:30:51Z,"Mixed summer for hiring: Gig jobs rise as permanent roles stay elusive While mandates are coming in from e-commerce and logistics players, banking, consumer durables, and electronics companies with physical stores are largely limiting hiring to replacements.",mixed summer hiring gig jobs rise permanent roles stay elusive mandates coming ecommerce logistics players banking consumer durables electronics companies physical stores largely limiting hiring replacements
BigBasket,Livemint,2026-02-02T11:05:09Z,"Mint Explainer: Why quick commerce wants planned buys even as margins come under pressure Mint explains why platforms are chasing bulk buys and what this trade-off means for quick commerce strategies, especially as competition heats up.",mint explainer quick commerce wants planned buys even margins come pressure mint explains platforms chasing bulk buys tradeoff means quick commerce strategies especially competition heats
BigBasket,The Times of India,2026-01-27T14:45:44Z,"Users can now order food, groceries from Swiggy using ChatGPT, Claude, Gemini Swiggy now lets users order food, groceries, and book restaurants via AI tools like ChatGPT, Claude, and Google Gemini. The system uses an open standard called MCP, allowing AI chatbots to search, apply coupons, and complete orders directly. This move reflect…",users order food groceries swiggy using chatgpt claude gemini swiggy lets users order food groceries book restaurants via ai tools like chatgpt claude google gemini system uses open standard called mcp allowing ai chatbots search apply coupons complete orders directly move reflect
BigBasket,Livemint,2026-01-26T00:31:08Z,"Quick commerce eats into Amazon, Flipkart ad spends as brands chase conversions Brands spanning food, wellness, and personal care say they are now allocating up to half of their digital ad spends to quick-commerce apps such as Blinkit, Swiggy Instamart, and Zepto, as sales velocity and return on ad spends improve sharply.",quick commerce eats amazon flipkart ad spends brands chase conversions brands spanning food wellness personal care say allocating half digital ad spends quickcommerce apps blinkit swiggy instamart zepto sales velocity return ad spends improve sharply
BigBasket,BusinessLine,2026-01-22T15:23:09Z,"Shadowfax Technologies IPO sails through Shadowfax Technologies IPO oversubscribed 2.72 times, driven by strong demand from QIBs and retail investors.",shadowfax technologies ipo sails shadowfax technologies ipo oversubscribed times driven strong demand qibs retail investors
BigBasket,Livemint,2026-01-20T07:11:50Z,"Reliance Retail's hyperlocal arm posts scorching growth but premium brands go slow—for now JioMart’s rapid quick commerce expansion is yet to translate into strong traction with premium brands, which continue to prioritize established rivals for scale and discovery. Analysts say premium categories and ad-led monetization remain key gaps as competit…",reliance retails hyperlocal arm posts scorching growth premium brands go slowfor jiomarts rapid quick commerce expansion yet translate strong traction premium brands continue prioritize established rivals scale discovery analysts say premium categories adled monetization remain key gaps competit
BigBasket,BusinessLine,2026-01-20T03:19:30Z,"Shadowfax Technologies IPO opens today in ₹118-124 band Shadowfax Technologies' ₹1,907.27-crore IPO opens today at ₹118-124, closing January 22, targeting significant growth in logistics.",shadowfax technologies ipo opens today band shadowfax technologies crore ipo opens today closing january targeting significant growth logistics
BigBasket,The Times of India,2026-01-20T03:01:48Z,"Shadowfax IPO opens today. Check GMP, brokerages review, subscription and other details At the upper end of the band, the issue values Shadowfax at a pre-IPO market cap of about Rs 7,169 crore. The offer comprises a fresh issue of shares worth Rs 1,000 crore and an offer for sale of Rs 907 crore by existing shareholders. Shares are slated to lis…",shadowfax ipo opens today check gmp brokerages review subscription details upper end band issue values shadowfax preipo market cap rs crore offer comprises fresh issue shares worth rs crore offer sale rs crore existing shareholders shares slated lis
BigBasket,The Times of India,2026-01-20T00:39:47Z,"Can Shadowfax Technologies’ IPO deliver long-term value for high-risk investors? Shadowfax Technologies is set to raise ₹1,000 crore through a fresh issue and ₹907.3 crore via an offer for sale in its upcoming IPO. The e-commerce logistics firm has seen significant market share growth and improved profitability, though revenue concentrati…",shadowfax technologies ipo deliver longterm value highrisk investors shadowfax technologies set raise crore fresh issue crore via offer sale upcoming ipo ecommerce logistics firm seen significant market share growth improved profitability though revenue concentrati
Nykaa,The Times of India,2026-02-13T09:33:28Z,"Nykaa signs exclusive deal to run Kiehl’s business in India Nykaa has secured an exclusive distribution pact to manage all of Kiehl's India operations, including its direct-to-consumer website, exclusive brand outlets, and multi-brand retail presence. This partnership grants Kiehl's access to Nykaa's extensive consume…",nykaa signs exclusive deal run kiehls business india nykaa secured exclusive distribution pact manage kiehls india operations including directtoconsumer website exclusive brand outlets multibrand retail presence partnership grants kiehls access nykaas extensive consume
